,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5,Won
34,Tiny,Nyx Assassin,Phantom Lancer,Alchemist,Enigma,1
35,Faceless Void,Drow Ranger,Nyx Assassin,Centaur Warrunner,Lina,1
36,Luna,Death Prophet,Troll Warlord,Riki,Lina,1
37,Alchemist,Pudge,Venomancer,Dazzle,Nature's Prophet,1
38,Kunkka,Viper,Outworld Devourer,Huskar,Lion,1
39,Death Prophet,Nature's Prophet,Pudge,Leshrac,Viper,1
40,Luna,Omniknight,Wisp,Troll Warlord,Ogre Magi,1
41,Drow Ranger,Wisp,Dragon Knight,Rubick,Sven,1
42,Juggernaut,Slardar,Leshrac,Rubick,Timbersaw,1
43,Witch Doctor,Troll Warlord,Nature's Prophet,Lina,Slardar,1
44,Tinker,Invoker,Weaver,Crystal Maiden,Luna,1
45,Razor,Witch Doctor,Spectre,Rubick,Troll Warlord,1
46,Faceless Void,Sand King,Enigma,Weaver,Necrolyte,1
47,Broodmother,Doom,Pugna,Puck,Gyrocopter,1
48,Morphling,Rubick,Warlock,Omniknight,Troll Warlord,1
49,Witch Doctor,Invoker,Ancient Apparition,Clockwerk,Drow Ranger,1
50,Alchemist,Ancient Apparition,Luna,Wisp,Pudge,1
51,Pudge,Nature's Prophet,Tinker,Axe,Shadow Fiend,1
52,Dragon Knight,Sven,Phantom Lancer,Pudge,Nature's Prophet,1
53,Crystal Maiden,Shadow Fiend,Juggernaut,Lone Druid,Batrider,1
54,Lone Druid,Nyx Assassin,Chen,Faceless Void,Rubick,1
55,Tidehunter,Anti-Mage,Templar Assassin,Night Stalker,Sand King,1
56,Axe,Queen of Pain,Nyx Assassin,Windrunner,Lifestealer,1
57,Lifestealer,Pudge,Tidehunter,Jakiro,Faceless Void,1
58,Keeper of the Light,Bane,Lone Druid,Shadow Fiend,Lich,1
59,Enigma,Anti-Mage,Sand King,Nature's Prophet,Queen of Pain,1
60,Axe,Pudge,Ogre Magi,Phantom Lancer,Lich,1
61,Puck,Windrunner,Axe,Bounty Hunter,Clockwerk,1
62,Chen,Queen of Pain,Naga Siren,Batrider,Sven,1
63,Sand King,Windrunner,Pudge,Broodmother,Zeus,1
64,Storm Spirit,Jakiro,Lina,Lone Druid,Juggernaut,1
65,Slardar,Nature's Prophet,Windrunner,Slark,Leshrac,1
66,Pudge,Clinkz,Lifestealer,Phantom Assassin,Windrunner,1
67,Bloodseeker,Lifestealer,Invoker,Zeus,Nyx Assassin,1
68,Spirit Breaker,Undying,Shadow Fiend,Leshrac,Lycanthrope,1
69,Pudge,Luna,Bane,Sand King,Drow Ranger,1
70,Spirit Breaker,Witch Doctor,Spectre,Invoker,Dark Seer,1
71,Venomancer,Sand King,Tinker,Tiny,Brewmaster,1
72,Lycanthrope,Undying,Keeper of the Light,Brewmaster,Bounty Hunter,1
73,Disruptor,Batrider,Ancient Apparition,Pudge,Chaos Knight,1
74,Slardar,Bane,Undying,Warlock,Bloodseeker,1
75,Lina,Sniper,Shadow Fiend,Leshrac,Sand King,1
76,Silencer,Phantom Assassin,Clockwerk,Axe,Kunkka,1
77,Templar Assassin,Disruptor,Dark Seer,Ancient Apparition,Sven,1
78,Pudge,Axe,Windrunner,Bounty Hunter,Lifestealer,1
79,Disruptor,Razor,Dragon Knight,Silencer,Jakiro,1
80,Medusa,Invoker,Juggernaut,Windrunner,Nyx Assassin,1
81,Lion,Luna,Clockwerk,Rubick,Invoker,1
82,Shadow Demon,Kunkka,Lycanthrope,Dark Seer,Anti-Mage,1
83,Windrunner,Medusa,Juggernaut,Bloodseeker,Invoker,1
84,Clockwerk,Huskar,Jakiro,Weaver,Tinker,1
85,Omniknight,Pudge,Bloodseeker,Medusa,Dragon Knight,1
86,Medusa,Lion,Spirit Breaker,Shadow Fiend,Centaur Warrunner,1
87,Centaur Warrunner,Queen of Pain,Mirana,Nyx Assassin,Omniknight,1
88,Necrolyte,Lifestealer,Brewmaster,Zeus,Nyx Assassin,1
89,Omniknight,Jakiro,Kunkka,Spirit Breaker,Skeleton King,1
90,Invoker,Rubick,Kunkka,Brewmaster,Venomancer,1
91,Shadow Fiend,Crystal Maiden,Slardar,Earthshaker,Ancient Apparition,1
92,Axe,Magnus,Luna,Invoker,Lich,1
93,Sand King,Dark Seer,Tiny,Shadow Fiend,Wisp,1
94,Beastmaster,Timbersaw,Slark,Brewmaster,Nature's Prophet,1
95,Witch Doctor,Puck,Dark Seer,Luna,Undying,1
96,Undying,Nature's Prophet,Phantom Lancer,Puck,Vengeful Spirit,1
97,Troll Warlord,Nature's Prophet,Queen of Pain,Tidehunter,Axe,1
98,Pudge,Phantom Lancer,Dark Seer,Dazzle,Lone Druid,1
99,Clockwerk,Zeus,Dragon Knight,Juggernaut,Lycanthrope,1
100,Gyrocopter,Timbersaw,Queen of Pain,Lina,Clinkz,1
101,Kunkka,Puck,Skeleton King,Lich,Gyrocopter,1
102,Centaur Warrunner,Crystal Maiden,Earthshaker,Juggernaut,Storm Spirit,1
103,Luna,Rubick,Viper,Sand King,Brewmaster,1
104,Shadow Demon,Luna,Silencer,Magnus,Faceless Void,1
105,Windrunner,Lion,Lina,Rubick,Juggernaut,1
106,Pudge,Weaver,Keeper of the Light,Lifestealer,Windrunner,1
107,Slark,Zeus,Viper,Phantom Assassin,Mirana,1
108,Viper,Lifestealer,Morphling,Bloodseeker,Sand King,1
109,Juggernaut,Tidehunter,Earthshaker,Bounty Hunter,Keeper of the Light,1
110,Pudge,Bane,Sven,Keeper of the Light,Slardar,1
111,Enigma,Vengeful Spirit,Shadow Fiend,Zeus,Alchemist,1
112,Enchantress,Crystal Maiden,Kunkka,Mirana,Ursa,1
113,Medusa,Weaver,Crystal Maiden,Riki,Templar Assassin,1
114,Windrunner,Queen of Pain,Skeleton King,Storm Spirit,Huskar,1
115,Sand King,Bounty Hunter,Nyx Assassin,Lifestealer,Lich,1
116,Lone Druid,Jakiro,Razor,Visage,Treant Protector,1
117,Warlock,Bane,Nature's Prophet,Magnus,Morphling,1
118,Lifestealer,Dark Seer,Nyx Assassin,Invoker,Faceless Void,1
119,Pudge,Lone Druid,Rubick,Necrolyte,Gyrocopter,1
120,Outworld Devourer,Visage,Sand King,Storm Spirit,Gyrocopter,1
121,Rubick,Shadow Demon,Axe,Drow Ranger,Zeus,1
122,Necrolyte,Pudge,Phantom Assassin,Lina,Nyx Assassin,1
123,Phantom Lancer,Juggernaut,Disruptor,Dazzle,Undying,1
124,Rubick,Magnus,Ursa,Nyx Assassin,Windrunner,1
125,Bane,Broodmother,Alchemist,Lycanthrope,Invoker,1
126,Magnus,Tinker,Rubick,Phantom Lancer,Wisp,1
127,Juggernaut,Beastmaster,Witch Doctor,Pudge,Wisp,1
128,Wisp,Earthshaker,Clinkz,Bounty Hunter,Omniknight,1
129,Phantom Lancer,Bane,Dark Seer,Nature's Prophet,Tiny,1
130,Axe,Kunkka,Dazzle,Ogre Magi,Sven,1
131,Windrunner,Nature's Prophet,Outworld Devourer,Dragon Knight,Jakiro,1
132,Sniper,Necrolyte,Omniknight,Razor,Pudge,1
133,Nature's Prophet,Kunkka,Slark,Tidehunter,Keeper of the Light,1
134,Visage,Earthshaker,Drow Ranger,Undying,Queen of Pain,1
135,Chaos Knight,Clinkz,Lifestealer,Witch Doctor,Spirit Breaker,1
136,Magnus,Pudge,Templar Assassin,Bane,Invoker,1
137,Disruptor,Shadow Fiend,Lich,Slark,Faceless Void,1
138,Axe,Dazzle,Juggernaut,Crystal Maiden,Pudge,1
139,Venomancer,Death Prophet,Magnus,Pugna,Riki,1
140,Ancient Apparition,Bounty Hunter,Skeleton King,Tiny,Dark Seer,1
141,Windrunner,Rubick,Luna,Lycanthrope,Kunkka,1
142,Wisp,Dark Seer,Shadow Fiend,Ursa,Lifestealer,1
143,Windrunner,Enigma,Bloodseeker,Mirana,Sand King,1
144,Axe,Lion,Phantom Lancer,Keeper of the Light,Kunkka,1
145,Puck,Sniper,Shadow Fiend,Clinkz,Clockwerk,1
146,Lich,Clockwerk,Axe,Luna,Silencer,1
147,Pudge,Outworld Devourer,Lich,Undying,Leshrac,1
148,Lina,Luna,Pugna,Lifestealer,Windrunner,1
149,Keeper of the Light,Batrider,Lifestealer,Tinker,Disruptor,1
150,Windrunner,Pudge,Riki,Earthshaker,Storm Spirit,1
151,Pudge,Naga Siren,Jakiro,Tiny,Lion,1
152,Phantom Assassin,Centaur Warrunner,Keeper of the Light,Dark Seer,Medusa,1
153,Sven,Magnus,Enigma,Puck,Drow Ranger,1
154,Undying,Outworld Devourer,Pudge,Gyrocopter,Axe,1
155,Enigma,Invoker,Vengeful Spirit,Batrider,Shadow Fiend,1
156,Magnus,Crystal Maiden,Queen of Pain,Doom,Disruptor,1
157,Windrunner,Doom,Morphling,Treant Protector,Phantom Lancer,1
158,Nyx Assassin,Undying,Nature's Prophet,Rubick,Mirana,1
159,Kunkka,Sven,Ancient Apparition,Lion,Naga Siren,1
160,Troll Warlord,Gyrocopter,Wisp,Queen of Pain,Juggernaut,1
161,Chen,Night Stalker,Axe,Skeleton King,Crystal Maiden,1
162,Outworld Devourer,Kunkka,Templar Assassin,Venomancer,Enchantress,1
163,Faceless Void,Templar Assassin,Pudge,Shadow Shaman,Mirana,1
164,Kunkka,Tinker,Shadow Shaman,Warlock,Lich,1
165,Keeper of the Light,Clockwerk,Lich,Phantom Lancer,Pudge,1
166,Weaver,Batrider,Wisp,Death Prophet,Dragon Knight,1
167,Juggernaut,Batrider,Bounty Hunter,Warlock,Phantom Lancer,1
168,Keeper of the Light,Dark Seer,Enigma,Medusa,Pudge,1
169,Tidehunter,Kunkka,Bane,Magnus,Dark Seer,1
170,Shadow Fiend,Enchantress,Dark Seer,Faceless Void,Vengeful Spirit,1
171,Gyrocopter,Riki,Queen of Pain,Lion,Lina,1
172,Axe,Sven,Ancient Apparition,Wisp,Gyrocopter,1
173,Skeleton King,Bloodseeker,Leshrac,Spirit Breaker,Windrunner,1
174,Lion,Weaver,Tidehunter,Nyx Assassin,Sven,1
175,Enigma,Sand King,Weaver,Tidehunter,Pudge,1
176,Invoker,Bounty Hunter,Lone Druid,Lina,Brewmaster,1
177,Shadow Shaman,Nyx Assassin,Necrolyte,Meepo,Windrunner,1
178,Zeus,Clockwerk,Anti-Mage,Puck,Crystal Maiden,1
179,Pudge,Bane,Windrunner,Keeper of the Light,Lifestealer,1
180,Kunkka,Dazzle,Doom,Invoker,Lion,1
181,Ursa,Night Stalker,Batrider,Wisp,Chaos Knight,1
182,Invoker,Enigma,Silencer,Juggernaut,Nyx Assassin,1
183,Zeus,Tiny,Sven,Morphling,Bounty Hunter,1
184,Batrider,Axe,Pugna,Sniper,Windrunner,1
185,Disruptor,Pudge,Riki,Morphling,Keeper of the Light,1
186,Mirana,Dark Seer,Spirit Breaker,Luna,Warlock,1
187,Storm Spirit,Mirana,Lifestealer,Warlock,Morphling,1
188,Nature's Prophet,Zeus,Slardar,Tiny,Disruptor,1
189,Magnus,Mirana,Drow Ranger,Sand King,Omniknight,1
190,Venomancer,Enigma,Spirit Breaker,Silencer,Luna,1
191,Earthshaker,Necrolyte,Windrunner,Lycanthrope,Dragon Knight,1
192,Nyx Assassin,Drow Ranger,Dark Seer,Huskar,Ancient Apparition,1
193,Queen of Pain,Crystal Maiden,Sand King,Kunkka,Nature's Prophet,1
194,Visage,Undying,Sniper,Zeus,Drow Ranger,1
195,Shadow Fiend,Spirit Breaker,Timbersaw,Rubick,Witch Doctor,1
196,Omniknight,Tidehunter,Undying,Nyx Assassin,Phantom Lancer,1
197,Pudge,Juggernaut,Vengeful Spirit,Bane,Nature's Prophet,1
198,Nyx Assassin,Troll Warlord,Storm Spirit,Keeper of the Light,Warlock,1
199,Luna,Brewmaster,Weaver,Undying,Nyx Assassin,1
200,Phantom Lancer,Tidehunter,Shadow Fiend,Bounty Hunter,Axe,1
201,Dragon Knight,Nature's Prophet,Phantom Lancer,Medusa,Sand King,1
202,Storm Spirit,Luna,Clinkz,Kunkka,Dazzle,1
203,Queen of Pain,Tiny,Axe,Tidehunter,Nature's Prophet,1
204,Batrider,Rubick,Bounty Hunter,Juggernaut,Tinker,1
205,Medusa,Shadow Demon,Nyx Assassin,Shadow Shaman,Juggernaut,1
206,Clinkz,Ogre Magi,Troll Warlord,Batrider,Visage,1
207,Sand King,Beastmaster,Puck,Queen of Pain,Tiny,1
208,Windrunner,Tiny,Phantom Lancer,Jakiro,Beastmaster,1
209,Kunkka,Crystal Maiden,Rubick,Templar Assassin,Earthshaker,1
210,Beastmaster,Axe,Puck,Juggernaut,Shadow Demon,1
211,Sniper,Jakiro,Viper,Night Stalker,Tidehunter,1
212,Bounty Hunter,Invoker,Enigma,Razor,Pugna,1
213,Dark Seer,Batrider,Nature's Prophet,Faceless Void,Witch Doctor,1
214,Death Prophet,Bounty Hunter,Venomancer,Shadow Demon,Clinkz,1
215,Phantom Lancer,Sand King,Viper,Invoker,Timbersaw,1
216,Drow Ranger,Disruptor,Windrunner,Zeus,Nature's Prophet,1
217,Warlock,Pudge,Wisp,Enchantress,Troll Warlord,1
218,Pudge,Clockwerk,Juggernaut,Chen,Nyx Assassin,1
219,Gyrocopter,Axe,Rubick,Drow Ranger,Queen of Pain,1
220,Zeus,Huskar,Nature's Prophet,Phantom Lancer,Windrunner,1
221,Gyrocopter,Luna,Centaur Warrunner,Vengeful Spirit,Lifestealer,1
222,Bounty Hunter,Vengeful Spirit,Zeus,Sand King,Huskar,1
223,Shadow Fiend,Riki,Treant Protector,Jakiro,Shadow Demon,1
224,Pudge,Skeleton King,Silencer,Nyx Assassin,Weaver,1
225,Venomancer,Gyrocopter,Witch Doctor,Omniknight,Sniper,1
226,Puck,Beastmaster,Windrunner,Juggernaut,Pudge,1
227,Troll Warlord,Mirana,Lion,Invoker,Medusa,1
228,Invoker,Nyx Assassin,Shadow Fiend,Windrunner,Tinker,1
229,Drow Ranger,Pudge,Rubick,Earthshaker,Mirana,1
230,Jakiro,Sniper,Enchantress,Pudge,Shadow Fiend,1
231,Viper,Outworld Devourer,Huskar,Undying,Keeper of the Light,1
232,Templar Assassin,Crystal Maiden,Magnus,Lion,Lina,1
233,Witch Doctor,Dragon Knight,Vengeful Spirit,Drow Ranger,Warlock,1
234,Timbersaw,Queen of Pain,Ancient Apparition,Leshrac,Lifestealer,1
235,Beastmaster,Crystal Maiden,Anti-Mage,Zeus,Juggernaut,1
236,Faceless Void,Enigma,Witch Doctor,Rubick,Dark Seer,1
237,Huskar,Pudge,Earthshaker,Centaur Warrunner,Brewmaster,1
238,Nature's Prophet,Ursa,Windrunner,Lich,Templar Assassin,1
239,Crystal Maiden,Night Stalker,Vengeful Spirit,Troll Warlord,Morphling,1
240,Storm Spirit,Crystal Maiden,Bounty Hunter,Bane,Clockwerk,1
241,Venomancer,Bounty Hunter,Huskar,Warlock,Riki,1
242,Witch Doctor,Centaur Warrunner,Zeus,Crystal Maiden,Nyx Assassin,1
243,Drow Ranger,Keeper of the Light,Death Prophet,Ogre Magi,Zeus,1
244,Troll Warlord,Vengeful Spirit,Sniper,Axe,Windrunner,1
245,Warlock,Alchemist,Mirana,Brewmaster,Nature's Prophet,1
246,Anti-Mage,Skeleton King,Luna,Rubick,Witch Doctor,1
247,Phantom Lancer,Batrider,Venomancer,Meepo,Shadow Shaman,1
248,Keeper of the Light,Pudge,Sven,Vengeful Spirit,Weaver,1
249,Axe,Windrunner,Undying,Phantom Lancer,Keeper of the Light,1
250,Invoker,Nature's Prophet,Beastmaster,Windrunner,Troll Warlord,1
251,Necrolyte,Clockwerk,Bounty Hunter,Witch Doctor,Timbersaw,1
252,Sniper,Lina,Faceless Void,Crystal Maiden,Phantom Lancer,1
253,Undying,Huskar,Silencer,Sand King,Bounty Hunter,1
254,Kunkka,Doom,Axe,Necrolyte,Nature's Prophet,1
255,Clinkz,Shadow Fiend,Necrolyte,Ogre Magi,Lone Druid,1
256,Puck,Crystal Maiden,Lina,Axe,Lycanthrope,1
257,Phantom Lancer,Anti-Mage,Lifestealer,Bane,Zeus,1
258,Shadow Demon,Morphling,Phantom Lancer,Ursa,Magnus,1
259,Huskar,Invoker,Slardar,Nyx Assassin,Phantom Lancer,1
260,Tidehunter,Storm Spirit,Rubick,Sven,Drow Ranger,1
261,Morphling,Rubick,Troll Warlord,Templar Assassin,Clockwerk,1
262,Shadow Fiend,Crystal Maiden,Windrunner,Juggernaut,Nyx Assassin,1
263,Bloodseeker,Ogre Magi,Lion,Weaver,Queen of Pain,1
264,Queen of Pain,Dark Seer,Beastmaster,Kunkka,Troll Warlord,1
265,Keeper of the Light,Sven,Slardar,Silencer,Sniper,1
266,Juggernaut,Gyrocopter,Shadow Demon,Ogre Magi,Disruptor,1
267,Naga Siren,Pudge,Centaur Warrunner,Bounty Hunter,Rubick,1
268,Slark,Lifestealer,Dazzle,Skeleton King,Warlock,1
269,Puck,Axe,Dragon Knight,Tiny,Necrolyte,1
270,Drow Ranger,Windrunner,Tiny,Nyx Assassin,Templar Assassin,1
271,Ursa,Lich,Pudge,Necrolyte,Windrunner,1
272,Windrunner,Timbersaw,Nyx Assassin,Chaos Knight,Magnus,1
273,Phantom Lancer,Pudge,Rubick,Kunkka,Sniper,1
274,Slark,Invoker,Wisp,Leshrac,Phantom Lancer,1
275,Juggernaut,Mirana,Shadow Demon,Axe,Sven,1
276,Queen of Pain,Omniknight,Dragon Knight,Vengeful Spirit,Sven,1
277,Drow Ranger,Naga Siren,Axe,Invoker,Skeleton King,1
278,Ogre Magi,Chen,Weaver,Tidehunter,Nyx Assassin,1
279,Weaver,Alchemist,Vengeful Spirit,Wisp,Lifestealer,1
280,Slark,Beastmaster,Lifestealer,Puck,Skeleton King,1
281,Jakiro,Drow Ranger,Kunkka,Alchemist,Venomancer,1
282,Centaur Warrunner,Sniper,Alchemist,Leshrac,Rubick,1
283,Kunkka,Nyx Assassin,Vengeful Spirit,Keeper of the Light,Bounty Hunter,1
284,Treant Protector,Viper,Mirana,Rubick,Enigma,1
285,Luna,Treant Protector,Crystal Maiden,Rubick,Jakiro,1
286,Bounty Hunter,Lich,Rubick,Magnus,Juggernaut,1
287,Kunkka,Treant Protector,Axe,Vengeful Spirit,Phantom Assassin,1
288,Tinker,Night Stalker,Pugna,Puck,Tidehunter,1
289,Ancient Apparition,Drow Ranger,Chaos Knight,Nyx Assassin,Outworld Devourer,1
290,Silencer,Necrolyte,Axe,Ursa,Batrider,1
291,Magnus,Shadow Fiend,Jakiro,Lifestealer,Keeper of the Light,1
292,Nyx Assassin,Wisp,Sven,Chaos Knight,Mirana,1
293,Centaur Warrunner,Spirit Breaker,Queen of Pain,Outworld Devourer,Phantom Lancer,1
294,Magnus,Mirana,Clockwerk,Anti-Mage,Puck,1
295,Phantom Assassin,Jakiro,Omniknight,Dark Seer,Doom,1
296,Centaur Warrunner,Sniper,Necrolyte,Huskar,Phantom Lancer,1
297,Phantom Assassin,Nyx Assassin,Storm Spirit,Bounty Hunter,Nature's Prophet,1
298,Nyx Assassin,Naga Siren,Pudge,Invoker,Shadow Shaman,1
299,Doom,Templar Assassin,Dazzle,Drow Ranger,Magnus,1
300,Doom,Sand King,Spectre,Medusa,Lone Druid,1
301,Vengeful Spirit,Zeus,Centaur Warrunner,Bane,Juggernaut,1
302,Phantom Assassin,Invoker,Luna,Huskar,Lion,1
303,Troll Warlord,Clockwerk,Enigma,Mirana,Axe,1
304,Slark,Bounty Hunter,Timbersaw,Shadow Fiend,Undying,1
305,Huskar,Lifestealer,Bane,Rubick,Alchemist,1
306,Pudge,Enigma,Chaos Knight,Medusa,Necrolyte,1
307,Silencer,Phantom Lancer,Sven,Bane,Pudge,1
308,Enchantress,Slark,Beastmaster,Centaur Warrunner,Warlock,1
309,Crystal Maiden,Venomancer,Windrunner,Ursa,Lich,1
310,Invoker,Silencer,Lifestealer,Faceless Void,Leshrac,1
311,Drow Ranger,Batrider,Venomancer,Chaos Knight,Wisp,1
312,Razor,Wisp,Sand King,Riki,Nyx Assassin,1
313,Pudge,Necrolyte,Venomancer,Drow Ranger,Dazzle,1
314,Brewmaster,Troll Warlord,Omniknight,Leshrac,Lifestealer,1
315,Skeleton King,Lifestealer,Clinkz,Puck,Witch Doctor,1
316,Morphling,Visage,Gyrocopter,Sand King,Death Prophet,1
317,Invoker,Bounty Hunter,Kunkka,Lifestealer,Pugna,1
318,Pudge,Templar Assassin,Anti-Mage,Lifestealer,Disruptor,1
319,Huskar,Crystal Maiden,Keeper of the Light,Juggernaut,Phantom Assassin,1
320,Night Stalker,Pugna,Bounty Hunter,Bloodseeker,Pudge,1
321,Silencer,Nyx Assassin,Disruptor,Jakiro,Bounty Hunter,1
322,Dragon Knight,Invoker,Lich,Phantom Lancer,Riki,1
323,Pugna,Rubick,Omniknight,Razor,Luna,1
324,Pudge,Spirit Breaker,Batrider,Sniper,Necrolyte,1
325,Tiny,Brewmaster,Luna,Tidehunter,Jakiro,1
326,Sven,Nyx Assassin,Clockwerk,Lina,Witch Doctor,1
327,Clockwerk,Crystal Maiden,Brewmaster,Gyrocopter,Storm Spirit,1
328,Venomancer,Doom,Dragon Knight,Jakiro,Leshrac,1
329,Nyx Assassin,Silencer,Viper,Spirit Breaker,Razor,1
330,Juggernaut,Sand King,Axe,Lion,Storm Spirit,1
331,Outworld Devourer,Clinkz,Enigma,Ogre Magi,Troll Warlord,1
332,Zeus,Treant Protector,Outworld Devourer,Dazzle,Juggernaut,1
333,Chaos Knight,Necrolyte,Enchantress,Phantom Assassin,Shadow Fiend,1
334,Kunkka,Windrunner,Sniper,Drow Ranger,Sand King,1
335,Centaur Warrunner,Dragon Knight,Spirit Breaker,Weaver,Windrunner,1
336,Razor,Drow Ranger,Shadow Shaman,Magnus,Nature's Prophet,1
337,Disruptor,Silencer,Treant Protector,Axe,Sand King,1
338,Riki,Disruptor,Windrunner,Keeper of the Light,Phantom Assassin,1
339,Nyx Assassin,Drow Ranger,Riki,Windrunner,Pudge,1
340,Silencer,Bloodseeker,Shadow Fiend,Broodmother,Omniknight,1
341,Pugna,Shadow Shaman,Juggernaut,Visage,Faceless Void,1
342,Necrolyte,Bounty Hunter,Chaos Knight,Death Prophet,Nyx Assassin,1
343,Chaos Knight,Anti-Mage,Enigma,Outworld Devourer,Dragon Knight,1
344,Dragon Knight,Sniper,Templar Assassin,Chen,Puck,1
345,Silencer,Crystal Maiden,Troll Warlord,Sniper,Sand King,1
346,Invoker,Spirit Breaker,Vengeful Spirit,Beastmaster,Weaver,1
347,Phantom Assassin,Warlock,Mirana,Sniper,Spectre,1
348,Sand King,Necrolyte,Medusa,Juggernaut,Lina,1
349,Tidehunter,Shadow Fiend,Invoker,Lycanthrope,Drow Ranger,1
350,Lifestealer,Sniper,Bounty Hunter,Riki,Tiny,1
351,Anti-Mage,Lone Druid,Enigma,Wisp,Ursa,1
352,Naga Siren,Zeus,Centaur Warrunner,Disruptor,Pudge,1
353,Clinkz,Night Stalker,Nyx Assassin,Lone Druid,Necrolyte,1
354,Bounty Hunter,Dark Seer,Enigma,Pudge,Night Stalker,1
355,Puck,Chen,Anti-Mage,Chaos Knight,Undying,1
356,Lich,Sniper,Pudge,Keeper of the Light,Invoker,1
357,Zeus,Witch Doctor,Faceless Void,Weaver,Keeper of the Light,1
358,Leshrac,Lifestealer,Pudge,Ursa,Nyx Assassin,1
359,Dark Seer,Sniper,Nyx Assassin,Pudge,Bounty Hunter,1
360,Wisp,Tiny,Dark Seer,Storm Spirit,Lich,1
361,Dazzle,Queen of Pain,Spirit Breaker,Slardar,Dragon Knight,1
362,Ursa,Dragon Knight,Vengeful Spirit,Magnus,Venomancer,1
363,Pudge,Juggernaut,Lion,Meepo,Gyrocopter,1
364,Doom,Disruptor,Shadow Fiend,Tiny,Broodmother,1
365,Axe,Kunkka,Mirana,Riki,Luna,1
366,Bloodseeker,Troll Warlord,Omniknight,Dark Seer,Bane,1
367,Weaver,Night Stalker,Tiny,Lion,Shadow Fiend,1
368,Rubick,Centaur Warrunner,Phantom Assassin,Lina,Pudge,1
369,Dazzle,Skeleton King,Invoker,Puck,Dragon Knight,1
370,Pudge,Windrunner,Bounty Hunter,Sven,Zeus,1
371,Tiny,Axe,Rubick,Vengeful Spirit,Weaver,1
372,Vengeful Spirit,Storm Spirit,Jakiro,Doom,Troll Warlord,1
373,Jakiro,Lion,Nature's Prophet,Drow Ranger,Sven,1
374,Outworld Devourer,Chen,Lifestealer,Puck,Gyrocopter,1
375,Slark,Drow Ranger,Bounty Hunter,Shadow Fiend,Pudge,1
376,Lycanthrope,Nyx Assassin,Juggernaut,Necrolyte,Venomancer,1
377,Axe,Leshrac,Beastmaster,Weaver,Phantom Lancer,1
378,Drow Ranger,Visage,Enigma,Riki,Shadow Fiend,1
379,Riki,Tinker,Tidehunter,Skeleton King,Windrunner,1
380,Shadow Demon,Death Prophet,Leshrac,Gyrocopter,Mirana,1
381,Anti-Mage,Outworld Devourer,Bounty Hunter,Keeper of the Light,Clockwerk,1
382,Rubick,Spirit Breaker,Storm Spirit,Pudge,Drow Ranger,1
383,Tinker,Slark,Troll Warlord,Queen of Pain,Disruptor,1
384,Shadow Shaman,Razor,Earthshaker,Leshrac,Warlock,1
385,Doom,Kunkka,Omniknight,Weaver,Shadow Fiend,1
386,Slark,Undying,Crystal Maiden,Warlock,Night Stalker,1
